season,phase,competition_id
2008,regular,8001
2008,finals,8002
2009,regular,8005
2009,finals,8006
2010,regular,8012
2010,finals,8013
2011,regular,8018
2011,finals,8019
2012,regular,8028
2012,finals,8029
2013,regular,8035
2013,finals,8036
2014,regular,9084
2014,finals,9085
2015,regular,9563
2015,finals,9564
2016,regular,9818
2016,finals,9819
2017,regular,10083
2017,finals,10084
2018,regular,10393
2018,finals,10394
2019,regular,10724
2019,finals,10725
2020,regular,11108
2020,finals,11109
2021,regular,11391
2021,finals,11392
2022,regular,11665
2022,finals,11666
2023,regular,12045
2023,finals,12046
2024,regular,12438
2024,finals,12439
2025,regular,12715
2025,finals,12716
2026,regular,12949
